2025-08-04 14:09:48 - [INFO]: - [LOAD] Data image_0.png loaded | shape=(800, 800).
2025-08-04 14:10:55 - [INFO]: - [LOAD] Data image_0.png loaded | shape=(800, 800).
2025-08-04 14:11:13 - [INFO]: - [LOAD] Data image_0.png loaded | shape=(800, 800).
2025-08-04 14:11:13 - [INFO]: - [LOAD] Data label_0.png loaded | shape=(800, 800).
2025-08-04 14:32:23 - [INFO]: - [LOAD] Data image_0.png loaded | shape=(800, 800).
2025-08-04 14:32:23 - [INFO]: - [LOAD] Data label_0.png loaded | shape=(800, 800).
2025-08-05 15:04:03 - [INFO]: - [LOAD] Data test.jp2 loaded | shape=(713, 713).
2025-08-06 10:24:30 - [INFO]: - [LOAD] Data test.tif loaded | shape=(3, 512, 512).
2025-08-06 11:50:25 - [INFO]: - [LOAD] Data 0000.tif loaded | shape=(912, 1303).
2025-08-06 11:55:37 - [INFO]: - [LOAD] Data 0059.tif loaded | shape=(912, 1303).
2025-08-06 11:55:37 - [INFO]: - [LOAD] Data 0059.tif loaded | shape=(912, 1303).
2025-08-07 13:33:34 - [INFO]: - [LOAD] Data image_0.png loaded | shape=(800, 800).
2025-08-07 13:33:34 - [INFO]: - [LOAD] Data label_0.png loaded | shape=(800, 800).
2025-08-07 13:35:11 - [INFO]: - [LOAD] Data image_0.png loaded | shape=(800, 800).
2025-08-07 13:35:11 - [INFO]: - [LOAD] Data label_0.png loaded | shape=(800, 800).
